title                    	GC3s	GC	Aromo	
gi|401800989|gb|CP003773.	0.147	0.237	0.110526	
gi|401800989|gb|CP003773.	0.171	0.270	0.134868	
gi|401800989|gb|CP003773.	0.217	0.353	0.085271	
gi|401800989|gb|CP003773.	0.171	0.330	0.063397	
gi|401800989|gb|CP003773.	0.179	0.310	0.081928	
gi|401800989|gb|CP003773.	0.166	0.302	0.104762	
gi|401800989|gb|CP003773.	0.132	0.247	0.091633	
gi|401800989|gb|CP003773.	0.141	0.260	0.081633	
gi|401800989|gb|CP003773.	0.153	0.281	0.092308	
gi|401800989|gb|CP003773.	0.137	0.265	0.121495	
gi|401800989|gb|CP003773.	0.155	0.252	0.095070	
gi|401800989|gb|CP003773.	0.155	0.276	0.098246	
gi|401800989|gb|CP003773.	0.116	0.279	0.059480	
gi|401800989|gb|CP003773.	0.159	0.289	0.090177	
gi|401800989|gb|CP003773.	0.155	0.297	0.104274	
gi|401800989|gb|CP003773.	0.169	0.271	0.101562	
gi|401800989|gb|CP003773.	0.201	0.332	0.097686	
gi|401800989|gb|CP003773.	0.145	0.305	0.115132	
gi|401800989|gb|CP003773.	0.177	0.284	0.115079	
gi|401800989|gb|CP003773.	0.159	0.303	0.125874	
gi|401800989|gb|CP003773.	0.157	0.322	0.055749	
gi|401800989|gb|CP003773.	0.147	0.294	0.076923	
gi|401800989|gb|CP003773.	0.198	0.291	0.159259	
gi|401800989|gb|CP003773.	0.198	0.314	0.089474	
gi|401800989|gb|CP003773.	0.131	0.279	0.075342	
gi|401800989|gb|CP003773.	0.166	0.288	0.131313	
gi|401800989|gb|CP003773.	0.170	0.290	0.091398	
gi|401800989|gb|CP003773.	0.190	0.338	0.058252	
gi|401800989|gb|CP003773.	0.196	0.306	0.102154	
gi|401800989|gb|CP003773.	0.154	0.344	0.095618	
gi|401800989|gb|CP003773.	0.206	0.327	0.071090	
gi|401800989|gb|CP003773.	0.157	0.296	0.119804	
gi|401800989|gb|CP003773.	0.189	0.302	0.087432	
gi|401800989|gb|CP003773.	0.185	0.338	0.066802	
gi|401800989|gb|CP003773.	0.193	0.309	0.060686	
gi|401800989|gb|CP003773.	0.157	0.325	0.081772	
gi|401800989|gb|CP003773.	0.151	0.341	0.022727	
gi|401800989|gb|CP003773.	0.181	0.293	0.075812	
gi|401800989|gb|CP003773.	0.197	0.312	0.150376	
gi|401800989|gb|CP003773.	0.190	0.293	0.109929	
gi|401800989|gb|CP003773.	0.193	0.307	0.088050	
gi|401800989|gb|CP003773.	0.181	0.324	0.089172	
gi|401800989|gb|CP003773.	0.182	0.323	0.084433	
gi|401800989|gb|CP003773.	0.217	0.294	0.129412	
gi|401800989|gb|CP003773.	0.208	0.333	0.041570	
gi|401800989|gb|CP003773.	0.173	0.335	0.071730	
gi|401800989|gb|CP003773.	0.184	0.332	0.062780	
gi|401800989|gb|CP003773.	0.135	0.302	0.069048	
gi|401800989|gb|CP003773.	0.221	0.299	0.125000	
gi|401800989|gb|CP003773.	0.205	0.314	0.122263	
gi|401800989|gb|CP003773.	0.150	0.308	0.079365	
gi|401800989|gb|CP003773.	0.227	0.287	0.074380	
gi|401800989|gb|CP003773.	0.404	0.348	0.085106	
gi|401800989|gb|CP003773.	0.187	0.278	0.090580	
gi|401800989|gb|CP003773.	0.173	0.273	0.051136	
gi|401800989|gb|CP003773.	0.194	0.325	0.081325	
gi|401800989|gb|CP003773.	0.155	0.282	0.090278	
gi|401800989|gb|CP003773.	0.189	0.272	0.140411	
gi|401800989|gb|CP003773.	0.206	0.333	0.117857	
gi|401800989|gb|CP003773.	0.201	0.332	0.098675	
gi|401800989|gb|CP003773.	0.193	0.283	0.079734	
gi|401800989|gb|CP003773.	0.262	0.289	0.089552	
gi|401800989|gb|CP003773.	0.207	0.294	0.100834	
gi|401800989|gb|CP003773.	0.239	0.304	0.097192	
gi|401800989|gb|CP003773.	0.196	0.328	0.109737	
gi|401800989|gb|CP003773.	0.198	0.309	0.126506	
gi|401800989|gb|CP003773.	0.199	0.307	0.126582	
gi|401800989|gb|CP003773.	0.142	0.256	0.091463	
gi|401800989|gb|CP003773.	0.399	0.403	0.066667	
gi|401800989|gb|CP003773.	0.372	0.326	0.101124	
gi|401800989|gb|CP003773.	0.129	0.287	0.080460	
gi|401800989|gb|CP003773.	0.194	0.357	0.097098	
gi|401800989|gb|CP003773.	0.285	0.339	0.060284	
gi|401800989|gb|CP003773.	0.219	0.337	0.083141	
gi|401800989|gb|CP003773.	0.263	0.358	0.077019	
gi|401800989|gb|CP003773.	0.239	0.338	0.085366	
gi|401800989|gb|CP003773.	0.278	0.284	0.200000	
gi|401800989|gb|CP003773.	0.231	0.308	0.111771	
gi|401800989|gb|CP003773.	0.211	0.292	0.159420	
gi|401800989|gb|CP003773.	0.269	0.341	0.121372	
gi|401800989|gb|CP003773.	0.226	0.353	0.083784	
gi|401800989|gb|CP003773.	0.254	0.342	0.087282	
gi|401800989|gb|CP003773.	0.286	0.320	0.105201	
gi|401800989|gb|CP003773.	0.218	0.353	0.043796	
gi|401800989|gb|CP003773.	0.192	0.336	0.053333	
gi|401800989|gb|CP003773.	0.260	0.335	0.095238	
gi|401800989|gb|CP003773.	0.306	0.336	0.100694	
gi|401800989|gb|CP003773.	0.237	0.327	0.073955	
gi|401800989|gb|CP003773.	0.275	0.321	0.194737	
gi|401800989|gb|CP003773.	0.234	0.388	0.050360	
gi|401800989|gb|CP003773.	0.279	0.376	0.064516	
gi|401800989|gb|CP003773.	0.206	0.362	0.072886	
gi|401800989|gb|CP003773.	0.254	0.345	0.082126	
gi|401800989|gb|CP003773.	0.213	0.350	0.100629	
gi|401800989|gb|CP003773.	0.235	0.349	0.076923	
gi|401800989|gb|CP003773.	0.243	0.329	0.080000	
gi|401800989|gb|CP003773.	0.246	0.339	0.087794	
gi|401800989|gb|CP003773.	0.237	0.317	0.109137	
gi|401800989|gb|CP003773.	0.234	0.331	0.114198	
gi|401800989|gb|CP003773.	0.205	0.319	0.108787	
gi|401800989|gb|CP003773.	0.236	0.314	0.134737	
gi|401800989|gb|CP003773.	0.204	0.320	0.107368	
gi|401800989|gb|CP003773.	0.238	0.318	0.058700	
gi|401800989|gb|CP003773.	0.335	0.339	0.131222	
gi|401800989|gb|CP003773.	0.199	0.330	0.088889	
gi|401800989|gb|CP003773.	0.225	0.276	0.129964	
gi|401800989|gb|CP003773.	0.262	0.333	0.089552	
gi|401800989|gb|CP003773.	0.253	0.333	0.087258	
gi|401800989|gb|CP003773.	0.213	0.310	0.105528	
gi|401800989|gb|CP003773.	0.212	0.321	0.120419	
gi|401800989|gb|CP003773.	0.253	0.312	0.111111	
gi|401800989|gb|CP003773.	0.174	0.293	0.131783	
gi|401800989|gb|CP003773.	0.253	0.325	0.091146	
gi|401800989|gb|CP003773.	0.201	0.295	0.098182	
gi|401800989|gb|CP003773.	0.195	0.313	0.111888	
gi|401800989|gb|CP003773.	0.235	0.313	0.129187	
gi|401800989|gb|CP003773.	0.244	0.330	0.110132	
gi|401800989|gb|CP003773.	0.211	0.314	0.164557	
gi|401800989|gb|CP003773.	0.258	0.346	0.089172	
gi|401800989|gb|CP003773.	0.192	0.299	0.124000	
gi|401800989|gb|CP003773.	0.205	0.308	0.122642	
gi|401800989|gb|CP003773.	0.190	0.305	0.117994	
gi|401800989|gb|CP003773.	0.249	0.322	0.065836	
gi|401800989|gb|CP003773.	0.245	0.326	0.135983	
gi|401800989|gb|CP003773.	0.271	0.354	0.128289	
gi|401800989|gb|CP003773.	0.261	0.335	0.101983	
gi|401800989|gb|CP003773.	0.258	0.288	0.102128	
gi|401800989|gb|CP003773.	0.184	0.333	0.090000	
gi|401800989|gb|CP003773.	0.217	0.295	0.116197	
gi|401800989|gb|CP003773.	0.191	0.305	0.069164	
gi|401800989|gb|CP003773.	0.217	0.317	0.075862	
gi|401800989|gb|CP003773.	0.272	0.345	0.119691	
gi|401800989|gb|CP003773.	0.204	0.284	0.112069	
gi|401800989|gb|CP003773.	0.241	0.296	0.107660	
gi|401800989|gb|CP003773.	0.200	0.267	0.157895	
gi|401800989|gb|CP003773.	0.231	0.287	0.096774	
gi|401800989|gb|CP003773.	0.201	0.326	0.085106	
gi|401800989|gb|CP003773.	0.238	0.301	0.223301	
gi|401800989|gb|CP003773.	0.221	0.327	0.070000	
gi|401800989|gb|CP003773.	0.251	0.319	0.154122	
gi|401800989|gb|CP003773.	0.210	0.327	0.090164	
gi|401800989|gb|CP003773.	0.253	0.309	0.124031	
gi|401800989|gb|CP003773.	0.267	0.337	0.086957	
gi|401800989|gb|CP003773.	0.267	0.342	0.079225	
gi|401800989|gb|CP003773.	0.485	0.459	0.037037	
gi|401800989|gb|CP003773.	0.421	0.412	0.082474	
gi|401800989|gb|CP003773.	0.464	0.424	0.076503	
gi|401800989|gb|CP003773.	0.435	0.486	0.042553	
gi|401800989|gb|CP003773.	0.488	0.396	0.076923	
gi|401800989|gb|CP003773.	0.279	0.332	0.119674	
gi|401800989|gb|CP003773.	0.255	0.331	0.059642	
gi|401800989|gb|CP003773.	0.170	0.300	0.044444	
gi|401800989|gb|CP003773.	0.263	0.348	0.058158	
gi|401800989|gb|CP003773.	0.255	0.324	0.089286	
gi|401800989|gb|CP003773.	0.219	0.322	0.090580	
gi|401800989|gb|CP003773.	0.238	0.309	0.115242	
gi|401800989|gb|CP003773.	0.278	0.318	0.088305	
gi|401800989|gb|CP003773.	0.307	0.321	0.155496	
gi|401800989|gb|CP003773.	0.303	0.297	0.081281	
gi|401800989|gb|CP003773.	0.227	0.332	0.068592	
gi|401800989|gb|CP003773.	0.288	0.306	0.170370	
gi|401800989|gb|CP003773.	0.337	0.362	0.037736	
gi|401800989|gb|CP003773.	0.325	0.391	0.074219	
gi|401800989|gb|CP003773.	0.278	0.357	0.066351	
gi|401800989|gb|CP003773.	0.311	0.346	0.066038	
gi|401800989|gb|CP003773.	0.323	0.401	0.059649	
gi|401800989|gb|CP003773.	0.313	0.364	0.103448	
gi|401800989|gb|CP003773.	0.314	0.363	0.041667	
gi|401800989|gb|CP003773.	0.335	0.386	0.048872	
gi|401800989|gb|CP003773.	0.354	0.417	0.073529	
gi|401800989|gb|CP003773.	0.326	0.338	0.021583	
gi|401800989|gb|CP003773.	0.091	0.299	0.194030	
gi|401800989|gb|CP003773.	0.277	0.365	0.047619	
gi|401800989|gb|CP003773.	0.277	0.388	0.057377	
gi|401800989|gb|CP003773.	0.355	0.358	0.027778	
gi|401800989|gb|CP003773.	0.316	0.365	0.072626	
gi|401800989|gb|CP003773.	0.305	0.428	0.083333	
gi|401800989|gb|CP003773.	0.312	0.340	0.070922	
gi|401800989|gb|CP003773.	0.326	0.353	0.054645	
gi|401800989|gb|CP003773.	0.330	0.359	0.043478	
gi|401800989|gb|CP003773.	0.377	0.390	0.042654	
gi|401800989|gb|CP003773.	0.338	0.380	0.033333	
gi|401800989|gb|CP003773.	0.345	0.396	0.098947	
gi|401800989|gb|CP003773.	0.270	0.341	0.084112	
gi|401800989|gb|CP003773.	0.292	0.358	0.100806	
gi|401800989|gb|CP003773.	0.333	0.376	0.057143	
gi|401800989|gb|CP003773.	0.444	0.387	0.000000	
gi|401800989|gb|CP003773.	0.361	0.396	0.024390	
gi|401800989|gb|CP003773.	0.397	0.447	0.041667	
gi|401800989|gb|CP003773.	0.352	0.380	0.070336	
gi|401800989|gb|CP003773.	0.339	0.363	0.057377	
gi|401800989|gb|CP003773.	0.287	0.352	0.069597	
gi|401800989|gb|CP003773.	0.325	0.372	0.085526	
gi|401800989|gb|CP003773.	0.298	0.353	0.145933	
gi|401800989|gb|CP003773.	0.325	0.348	0.090535	
gi|401800989|gb|CP003773.	0.285	0.322	0.125828	
gi|401800989|gb|CP003773.	0.294	0.304	0.158228	
gi|401800989|gb|CP003773.	0.230	0.327	0.097282	
gi|401800989|gb|CP003773.	0.387	0.416	0.059633	
gi|401800989|gb|CP003773.	0.408	0.398	0.027778	
gi|401800989|gb|CP003773.	0.292	0.364	0.109312	
gi|401800989|gb|CP003773.	0.293	0.338	0.063574	
gi|401800989|gb|CP003773.	0.377	0.375	0.150307	
gi|401800989|gb|CP003773.	0.381	0.364	0.128617	
gi|401800989|gb|CP003773.	0.298	0.339	0.100946	
gi|401800989|gb|CP003773.	0.349	0.404	0.086745	
gi|401800989|gb|CP003773.	0.356	0.411	0.087332	
gi|401800989|gb|CP003773.	0.469	0.465	0.030303	
